fromCountyFIPSid,toCountyFIPSid,countTaxReturns,countTaxExemptions,sumAdjustedGrossIncome1000s
01001,01051,369,836,15836
01001,01101,323,673,10309
01001,01021,68,174,1900
01001,01073,45,98,1723
01001,01047,39,78,1054
01001,01117,33,72,1841
01001,01081,32,50,1056
01001,01003,28,55,1208
01001,01097,21,43,642
01001,12033,17,34,642
01001,51059,17,70,1593
01001,08041,16,63,1286
01001,01123,15,44,586
01001,01125,14,22,348
01001,01089,13,27,396
01001,48029,12,36,853
01001,01085,11,22,382
01001,01109,11,22,447
01001,12005,10,28,476
01003,01097,732,1357,30785
01003,12033,310,645,11578
01003,01073,113,204,11729
01003,01053,88,207,3044
01003,12113,71,140,2272
01003,01117,58,114,2619
01003,01125,55,95,2092
01003,01089,53,100,2570
01003,28047,44,73,1715
01003,12091,41,66,1449
01003,48201,40,87,2067
01003,01101,37,63,1354
01003,01081,36,74,1657
01003,13121,34,55,1708
01003,22071,34,40,1522
01003,01099,33,75,1207
01003,28059,33,56,1677
01003,22051,25,52,2351
01003,47037,25,35,1041
01003,12005,24,76,842
01003,12057,21,47,1891
01003,12095,21,35,1219
01003,01069,20,49,858
01003,12103,20,38,1249
01003,13067,19,31,773
01003,06073,18,35,712
01003,22103,18,50,1180
01003,01001,17,46,635
01003,01025,17,39,464
01003,01095,17,36,396
01003,01115,17,37,668
01003,12031,17,30,595
01003,01103,16,29,690
01003,01123,16,64,392
01003,01129,16,34,484
01003,04013,16,30,450
01003,13135,16,34,780
01003,22033,16,31,1136
01003,47157,16,27,888
01003,01015,15,28,625
01003,06037,15,27,1295
01003,01013,14,24,407
01003,01035,14,33,423
01003,13089,14,17,345
01003,17031,14,24,767
01003,01039,13,26,1411
01003,48157,13,32,1232
01003,48439,13,42,824
01003,01043,12,20,274
01003,12073,12,22,292
01003,12086,12,20,452
01003,22063,12,22,585
01003,28121,12,28,454
01003,37133,12,30,420
01003,48167,12,31,682
01003,01031,11,23,240
01003,01051,11,29,709
01003,08041,11,22,292
01003,12009,11,19,421
01003,13117,11,23,374
01003,15003,11,21,407
01003,32003,11,19,311
01003,37119,11,28,1355
01003,48029,11,19,469
01003,48085,11,25,718
01003,48113,11,21,490
01003,01055,10,22,333
01003,12071,10,18,262
01003,12105,10,30,387
01003,22055,10,16,357
01003,28039,10,27,311
01003,48339,10,22,853
01003,53053,10,23,387
01005,01069,76,201,1803
01005,01045,49,126,1684
01005,01067,42,90,1137
01005,01109,32,92,746
01005,01081,30,65,972
01005,13239,28,70,659
01005,13215,27,44,956
01005,01113,26,56,895
01005,01101,18,38,855
01005,01011,13,33,302
01005,01073,12,28,1255
01005,01031,10,26,243
01007,01125,111,240,3797
01007,01073,91,180,3178
01007,01117,69,151,8825
01007,01021,37,80,1103
01007,01115,14,37,325
01009,01073,450,1000,15226
01009,01043,109,260,35429
01009,01095,101,250,3132
01009,01115,81,183,2643
01009,01055,56,123,1618
01009,01117,38,70,1738
01009,01127,28,79,792
01009,01089,19,37,925
01009,01003,14,26,566
01009,01103,14,28,562
01009,01125,13,21,342
01009,01015,10,14,338
01009,12005,10,21,435
01011,01101,73,180,2305
01011,01081,26,59,539
01011,01005,23,51,264
01011,01109,20,42,469
01011,01087,12,34,199
01013,01101,67,146,1682
01013,01085,26,69,694
01013,01039,21,46,857
01013,01041,18,49,478
01013,01081,13,27,680
01013,01051,12,25,496
01013,01035,11,23,314
01013,01001,10,23,500
01015,01121,351,776,12386
01015,01055,206,465,7073
01015,01073,134,239,5641
01015,01029,110,241,2787
01015,01115,100,211,4101
01015,01019,60,140,2158
01015,01117,54,90,2376
01015,01089,34,59,1494
01015,01095,33,75,937
01015,01027,32,73,1206
01015,13067,32,51,1063
01015,01111,31,77,962
01015,01003,29,60,1788
01015,01081,25,42,958
01015,13121,25,44,538
01015,13045,24,44,596
01015,01125,21,36,620
01015,13089,20,28,449
01015,01097,19,33,533
01015,13135,19,32,591
01015,13115,17,37,510
01015,01049,15,26,533
01015,01101,15,26,496
01015,08101,15,49,1385
01015,01103,13,25,573
01015,13097,13,22,358
01015,21151,12,32,1260
01015,01043,11,25,237
01015,01051,11,32,374
01015,13223,11,18,207
01015,01113,10,21,444
01015,01123,10,19,277
01015,01127,10,25,478
01017,01081,316,719,9171
01017,13285,169,390,5601
01017,01111,43,100,1169
01017,01123,22,52,489
01017,13077,19,60,876
01017,48453,19,88,531
01017,13215,17,35,413
01017,01101,14,26,415
01017,13145,14,40,652
01017,01113,13,29,393
01017,13121,13,25,375
01017,01073,10,22,409
01019,01055,75,146,2315
01019,01049,70,148,1793
01019,01015,56,136,1731
01019,13115,51,103,1668
01019,13055,25,65,589
01019,01073,10,20,689
01021,01117,244,543,7625
01021,01073,93,189,3468
01021,01001,60,146,1955
01021,01051,38,93,1508
01021,01007,30,76,978
01021,01125,21,49,684
01021,01003,19,37,767
01021,01047,19,48,657
01021,01101,17,34,394
01021,13045,13,49,393
01021,01115,12,26,297
01023,28075,26,66,1421
01023,01129,16,48,473
01023,01119,15,34,506
01023,01097,14,38,571
01023,01125,13,25,343
01023,01025,11,30,420
01025,01097,82,155,2388
01025,01129,42,102,1327
01025,01091,34,77,1054
01025,01131,31,77,972
01025,01003,29,70,2294
01025,01073,15,26,303
01025,01099,15,39,392
01025,01125,15,27,537
01025,01101,13,28,315
01025,01023,12,22,327
01027,01121,42,93,1234
01027,01015,30,77,860
01027,01111,30,79,1172
01027,01123,20,47,502
01027,01037,15,32,517
01027,01073,10,16,289
01029,01015,95,233,2851
01029,13045,39,102,1231
01029,13143,32,69,995
01029,01111,21,45,438
01031,01045,253,571,8969
01031,01069,122,258,3616
01031,01061,94,232,3396
01031,01039,74,151,2884
01031,01109,66,164,2151
01031,47125,56,126,2896
01031,08041,36,80,1795
01031,48027,34,76,1798
01031,15003,32,66,1522
01031,01089,31,84,3132
01031,01101,29,60,1193
01031,37051,29,53,1164
01031,12005,27,47,-834
01031,01041,23,57,660
01031,01097,22,52,959
01031,12091,21,48,665
01031,36045,19,41,967
01031,13051,15,28,692
01031,01073,14,22,546
01031,12105,14,28,237
01031,12131,14,29,1328
01031,48453,14,31,310
01031,53053,14,24,606
01031,01067,13,37,479
01031,20061,13,38,594
01031,01003,12,25,653
01031,12033,12,30,872
01031,20161,12,17,657
01031,48141,12,34,623
01031,02090,11,24,566
01031,13215,11,20,311
01031,37085,11,20,561
01031,01051,10,21,479
01031,06073,10,26,387
01031,12057,10,21,456
01031,13089,10,21,335
01031,48201,10,20,411
01033,01077,489,1040,16293
01033,01059,109,269,3144
01033,01089,65,114,2157
01033,01079,48,103,2001
01033,01103,33,57,867
01033,01073,27,55,1115
01033,01083,24,51,976
01033,01117,19,42,1139
01033,01003,12,20,565
01035,01053,38,100,856
01035,01099,29,68,802
01035,01003,22,51,1041
01035,01039,20,45,709
01035,01101,19,37,302
01035,01013,14,30,652
01037,01121,91,206,2844
01037,01123,84,204,2037
01037,01051,22,53,617
01037,01073,22,34,798
01037,01117,15,33,673
01037,01027,12,28,484
01037,01081,10,19,410
01039,01031,77,191,3162
01039,12091,37,68,932
01039,12131,31,74,845
01039,01041,29,69,1045
01039,01097,24,47,746
01039,01003,22,44,825
01039,01101,22,42,718
01039,01035,21,47,470
01039,01109,20,31,461
01039,01069,19,46,550
01039,01053,18,38,483
01039,01061,15,33,344
01039,12033,15,30,803
01039,01013,12,25,409
01039,01045,10,19,279
01041,01101,65,148,2154
01041,01109,45,114,1422
01041,01039,32,89,830
01041,01013,23,53,428
01041,01031,14,35,386
01041,01051,11,23,295
01041,01081,10,18,345
01043,01103,177,368,5314
01043,01073,124,226,4861
01043,01095,107,238,3165
01043,01009,85,217,2666
01043,01089,77,148,2978
01043,01133,50,104,1354
01043,01127,41,89,1232
01043,01117,24,48,992
