,fips,frequency,STATEFP,COUNTYFP,COUNAME,STNAME,POPULATION,LATITUDE,LONGITUDE
354,34001,13,34,001,Atlantic,New Jersey,274549,+39.427562,-074.583452
352,34003,13,34,003,Bergen,New Jersey,905116,+40.918799,-074.057383
356,34005,13,34,005,Burlington,New Jersey,448734,+39.982667,-074.834269
355,34007,13,34,007,Camden,New Jersey,513657,+39.864010,-075.027836
162,34013,13,34,013,Essex,New Jersey,783969,+40.768705,-074.216402
163,34015,13,34,015,Gloucester,New Jersey,288288,+39.749187,-075.127456
165,34017,13,34,017,Hudson,New Jersey,634266,+40.742925,-074.061278
158,34019,13,34,019,Hunterdon,New Jersey,128349,+40.572183,-074.896782
84,34021,13,34,021,Mercer,New Jersey,366513,+40.255566,-074.700340
498,34023,13,34,023,Middlesex,New Jersey,809858,+40.485529,-074.387921
88,34025,13,34,025,Monmouth,New Jersey,630380,+40.291301,-074.147730
90,34027,13,34,027,Morris,New Jersey,492276,+40.859552,-074.501661
29,34031,13,34,031,Passaic,New Jersey,501226,+40.925361,-074.191473
576,34033,13,34,033,Salem,New Jersey,66083,+39.625938,-075.376580
13,34035,13,34,035,Somerset,New Jersey,323444,+40.561176,-074.578798
573,34037,13,34,037,Sussex,New Jersey,149265,+41.091219,-074.654037
582,34039,13,34,039,Union,New Jersey,536499,+40.659609,-074.294239
270,34041,13,34,041,Warren,New Jersey,108692,+40.795162,-075.016426
493,36005,13,36,005,Bronx,New York,1385108,+40.849354,-073.882363
110,36027,13,36,027,Dutchess,New York,297488,+41.681015,-073.839417
406,36047,13,36,047,Kings,New York,2504700,+40.650523,-073.954811
223,36059,13,36,059,Nassau,New York,1339532,+40.716587,-073.602242
20,36061,13,36,061,New York,New York,1585873,+40.777958,-073.966303
524,36079,13,36,079,Putnam,New York,99710,+41.411282,-073.717247
660,36081,13,36,081,Queens,New York,2230722,+40.721294,-073.833451
663,36087,13,36,087,Rockland,New York,311687,+41.127623,-074.019039
23,36103,13,36,103,Suffolk,New York,1493350,+40.821924,-073.113775
224,36111,13,36,111,Ulster,New York,182493,+41.841064,-074.100745
