,fips,frequency,STATEFP,COUNTYFP,COUNAME,STNAME,POPULATION,LATITUDE,LONGITUDE
19,17007,13,17,007,Boone,Illinois,54165,+42.293981,-088.851989
48,17019,13,17,019,Champaign,Illinois,201081,+40.128073,-088.233083
125,17031,13,17,031,Cook,Illinois,5194675,+41.865937,-087.757714
129,17037,13,17,037,DeKalb,Illinois,105160,+41.927172,-088.729460
219,17053,13,17,053,Ford,Illinois,14081,+40.527422,-088.217453
249,17063,13,17,063,Grundy,Illinois,50063,+41.345274,-088.347437
74,17089,13,17,089,Kane,Illinois,515269,+41.918111,-088.331264
117,17091,13,17,091,Kankakee,Illinois,113449,+41.148582,-087.850867
115,17093,13,17,093,Kendall,Illinois,114736,+41.663724,-088.379066
122,17099,13,17,099,LaSalle,Illinois,113924,+41.350798,-088.895997
245,17103,13,17,103,Lee,Illinois,36031,+41.810242,-089.398207
101,17141,13,17,141,Ogle,Illinois,53497,+42.028653,-089.256098
272,17197,13,17,197,Will,Illinois,677560,+41.565138,-088.057232
176,17201,13,17,201,Winnebago,Illinois,295266,+42.307128,-089.062240
131,17039,12,17,039,De Witt,Illinois,16561,+40.171701,-088.908946
186,17043,12,17,043,DuPage,Illinois,916924,+41.849815,-088.071617
288,17075,12,17,075,Iroquois,Illinois,29718,+40.763597,-087.834391
118,17097,12,17,097,Lake,Illinois,703462,+42.313072,-087.969458
246,17105,12,17,105,Livingston,Illinois,38950,+40.907044,-088.573187
207,17113,12,17,113,McLean,Illinois,169572,+40.494123,-088.954977
206,17115,12,17,115,Macon,Illinois,110768,+39.851176,-088.947076
191,17049,11,17,049,Effingham,Illinois,34242,+39.094723,-088.576033
209,17111,11,17,111,McHenry,Illinois,308760,+42.271472,-088.349880
189,17123,11,17,123,Marshall,Illinois,12640,+41.043034,-089.315638
103,17143,11,17,143,Peoria,Illinois,186494,+40.742915,-089.638993
99,17147,11,17,147,Piatt,Illinois,16729,+40.007008,-088.581585
285,17173,11,17,173,Shelby,Illinois,22363,+39.396539,-088.802073
291,17179,11,17,179,Tazewell,Illinois,135394,+40.602899,-089.534104
175,17203,11,17,203,Woodford,Illinois,38664,+40.771239,-089.290310
55,17011,10,17,011,Bureau,Illinois,34978,+41.382964,-089.423780
86,17021,10,17,021,Christian,Illinois,34800,+39.525298,-089.254627
90,17029,10,17,029,Coles,Illinois,53873,+39.487297,-088.258277
128,17035,10,17,035,Cumberland,Illinois,11048,+39.275965,-088.280887
184,17041,10,17,041,Douglas,Illinois,19980,+39.766826,-088.279794
215,17057,10,17,057,Fulton,Illinois,37069,+40.521963,-090.119357
247,17107,10,17,107,Logan,Illinois,30305,+40.140775,-089.361505
274,17195,10,17,195,Whiteside,Illinois,58498,+41.780798,-089.823253
284,17079,9,17,079,Jasper,Illinois,9698,+39.003765,-088.159885
192,17125,9,17,125,Mason,Illinois,14666,+40.286475,-089.898924
136,17139,9,17,139,Moultrie,Illinois,14846,+39.631979,-088.614419
6,17167,9,17,167,Sangamon,Illinois,197465,+39.772757,-089.652867
282,17177,9,17,177,Stephenson,Illinois,47711,+42.324139,-089.644541
22,55059,9,55,059,Kenosha,Wisconsin,166426,+42.572633,-087.922956
57,17015,8,17,015,Carroll,Illinois,15387,+42.071879,-089.963255
221,17051,8,17,051,Fayette,Illinois,22140,+38.997829,-089.033295
51,17155,8,17,155,Putnam,Illinois,6006,+41.229306,-089.270945
65,55105,8,55,105,Rock,Wisconsin,160331,+42.651893,-089.037410
56,17017,7,17,017,Cass,Illinois,13642,+39.979866,-090.319209
293,17073,7,17,073,Henry,Illinois,50486,+41.348782,-090.134757
46,17095,7,17,095,Knox,Illinois,52919,+40.937032,-090.328601
148,17137,7,17,137,Morgan,Illinois,35547,+39.718155,-090.231161
20,17169,7,17,169,Schuyler,Illinois,7544,+40.131180,-090.568639
123,18089,7,18,089,Lake,Indiana,496005,+41.526226,-087.408155
194,55015,7,55,015,Calumet,Wisconsin,48971,+44.149211,-088.258764
137,55025,7,55,025,Dane,Wisconsin,488073,+43.074343,-089.393883
76,55027,7,55,027,Dodge,Wisconsin,88759,+43.434231,-088.712346
29,55055,7,55,055,Jefferson,Wisconsin,83686,+43.040167,-088.784757
61,55101,7,55,101,Racine,Wisconsin,195408,+42.734943,-087.926109
157,55127,7,55,127,Walworth,Wisconsin,102228,+42.664074,-088.540668
107,55139,7,55,139,Winnebago,Wisconsin,166994,+44.100643,-088.540068
72,17085,6,17,085,Jo Daviess,Illinois,22678,+42.411324,-090.305944
183,17129,6,17,129,Menard,Illinois,12705,+39.997260,-089.799507
283,17171,6,17,171,Scott,Illinois,5355,+39.645737,-090.462754
280,17175,6,17,175,Stark,Illinois,5994,+41.098377,-089.792451
306,17183,6,17,183,Vermilion,Illinois,81625,+40.149683,-087.654806
164,55001,6,55,001,Adams,Wisconsin,20875,+43.944401,-089.782239
159,55009,6,55,009,Brown,Wisconsin,248007,+44.497198,-088.031843
77,55021,6,55,021,Columbia,Wisconsin,56833,+43.461490,-089.367399
121,55029,6,55,029,Door,Wisconsin,27785,+44.904102,-087.345365
119,55039,6,55,039,Fond du Lac,Wisconsin,101633,+43.764930,-088.486885
297,55045,6,55,045,Green,Wisconsin,36842,+42.670633,-089.576089
296,55047,6,55,047,Green Lake,Wisconsin,19051,+43.844076,-089.013089
31,55057,6,55,057,Juneau,Wisconsin,26664,+43.842134,-090.100354
261,55071,6,55,071,Manitowoc,Wisconsin,81442,+44.104426,-087.723854
262,55077,6,55,077,Marquette,Wisconsin,15404,+43.813741,-089.411070
264,55078,6,55,078,Menominee,Wisconsin,4232,+44.913795,-088.641293
265,55079,6,55,079,Milwaukee,Wisconsin,947735,+43.032865,-087.959548
170,55083,6,55,083,Oconto,Wisconsin,37660,+44.897900,-088.147837
84,55087,6,55,087,Outagamie,Wisconsin,176695,+44.309508,-088.400738
89,55089,6,55,089,Ozaukee,Wisconsin,86395,+43.320380,-087.949891
21,55111,6,55,111,Sauk,Wisconsin,61976,+43.446515,-089.869597
24,55115,6,55,115,Shawano,Wisconsin,41949,+44.787648,-088.686230
25,55117,6,55,117,Sheboygan,Wisconsin,115507,+43.733217,-087.820251
114,55131,6,55,131,Washington,Wisconsin,131887,+43.347344,-088.215167
112,55133,6,55,133,Waukesha,Wisconsin,389891,+43.034419,-088.236902
111,55135,6,55,135,Waupaca,Wisconsin,52410,+44.432371,-088.937106
109,55137,6,55,137,Waushara,Wisconsin,24496,+44.101150,-089.225960
17,17005,5,17,005,Bond,Illinois,17768,+38.884622,-089.432819
82,17025,5,17,025,Clay,Illinois,13815,+38.716132,-088.490134
217,17055,5,17,055,Franklin,Illinois,39561,+37.962135,-088.953316
250,17061,5,17,061,Greene,Illinois,13886,+39.372240,-090.373465
69,17081,5,17,081,Jefferson,Illinois,38827,+38.308488,-088.910808
70,17083,5,17,083,Jersey,Illinois,22985,+39.072862,-090.320420
248,17109,5,17,109,McDonough,Illinois,32612,+40.469472,-090.669344
204,17117,5,17,117,Macoupin,Illinois,47765,+39.194030,-089.877035
190,17121,5,17,121,Marion,Illinois,39437,+38.590710,-089.016967
146,17135,5,17,135,Montgomery,Illinois,30104,+39.198961,-089.505319
12,17161,5,17,161,Rock Island,Illinois,147546,+41.489142,-090.504005
2,18091,5,18,091,LaPorte,Indiana,111467,+41.631837,-086.790977
152,19163,5,19,163,Scott,Iowa,165224,+41.563153,-090.567812
200,55019,5,55,019,Clark,Wisconsin,34690,+44.784643,-090.547599
298,55043,5,55,043,Grant,Wisconsin,51208,+42.825290,-090.616057
294,55049,5,55,049,Iowa,Wisconsin,23687,+42.982704,-090.126735
225,55061,5,55,061,Kewaunee,Wisconsin,20574,+44.527541,-087.589790
228,55065,5,55,065,Lafayette,Wisconsin,16836,+42.661836,-090.139042
230,55067,5,55,067,Langlade,Wisconsin,19977,+45.184440,-089.105771
232,55069,5,55,069,Lincoln,Wisconsin,28743,+45.285493,-089.686664
260,55073,5,55,073,Marathon,Wisconsin,134063,+44.908503,-089.710946
263,55075,5,55,075,Marinette,Wisconsin,41749,+45.221014,-087.846106
196,55085,5,55,085,Oneida,Wisconsin,35998,+45.708051,-089.490882
132,55097,5,55,097,Portage,Wisconsin,70019,+44.498175,-089.526902
59,55103,5,55,103,Richland,Wisconsin,18021,+43.350327,-090.390550
27,55119,5,55,119,Taylor,Wisconsin,20689,+45.173257,-090.412651
243,55141,5,55,141,Wood,Wisconsin,74749,+44.478782,-089.963901
236,17023,4,17,023,Clark,Illinois,16335,+39.351007,-087.800246
80,17027,4,17,027,Clinton,Illinois,37762,+38.587753,-089.472099
253,17065,4,17,065,Hamilton,Illinois,8457,+38.092156,-088.557747
290,17077,4,17,077,Jackson,Illinois,60218,+37.747793,-089.274031
213,17119,4,17,119,Madison,Illinois,269282,+38.801396,-090.018097
142,17131,4,17,131,Mercer,Illinois,16434,+41.214043,-090.687167
97,17145,4,17,145,Perry,Illinois,22350,+38.058514,-089.323862
54,17159,4,17,159,Richland,Illinois,16233,+38.725943,-088.088315
305,17181,4,17,181,Union,Illinois,17808,+37.468580,-089.236505
308,17187,4,17,187,Warren,Illinois,17707,+40.890638,-090.636371
300,17189,4,17,189,Washington,Illinois,14716,+38.359407,-089.393930
277,17191,4,17,191,Wayne,Illinois,16760,+38.406869,-088.422496
271,17199,4,17,199,Williamson,Illinois,66357,+37.755675,-088.974979
53,18005,4,18,005,Bartholomew,Indiana,76794,+39.216785,-085.902794
7,18011,4,18,011,Boone,Indiana,56640,+40.013009,-086.398737
5,18013,4,18,013,Brown,Indiana,15242,+39.236241,-086.209690
168,18023,4,18,023,Clinton,Indiana,33224,+40.298201,-086.512307
251,18031,4,18,031,Decatur,Indiana,25740,+39.319975,-085.494211
208,18045,4,18,045,Fountain,Indiana,17240,+40.152089,-087.271946
172,18053,4,18,053,Grant,Indiana,70061,+40.525253,-085.644413
169,18057,4,18,057,Hamilton,Indiana,274569,+40.002534,-086.059737
179,18059,4,18,059,Hancock,Indiana,70002,+39.811662,-085.824125
143,18063,4,18,063,Hendricks,Indiana,145448,+39.772784,-086.415055
149,18065,4,18,065,Henry,Indiana,49462,+39.928644,-085.403678
98,18073,4,18,073,Jasper,Indiana,33478,+41.075783,-087.149436
1,18093,4,18,093,Lawrence,Indiana,46134,+38.846386,-086.495718
4,18095,4,18,095,Madison,Indiana,131636,+40.114120,-085.708901
3,18097,4,18,097,Marion,Indiana,903393,+39.791299,-086.135905
141,18103,4,18,103,Miami,Indiana,36903,+40.730651,-086.073933
151,18105,4,18,105,Monroe,Indiana,137974,+39.162879,-086.537697
138,18107,4,18,107,Montgomery,Indiana,38124,+40.035110,-086.900060
197,18109,4,18,109,Morgan,Indiana,68894,+39.512251,-086.399318
218,18127,4,18,127,Porter,Indiana,164343,+41.513679,-087.105308
258,18131,4,18,131,Pulaski,Indiana,13402,+41.050592,-086.685266
259,18133,4,18,133,Putnam,Indiana,37963,+39.646107,-086.835611
252,18139,4,18,139,Rush,Indiana,17392,+39.623616,-085.474569
94,18145,4,18,145,Shelby,Indiana,44436,+39.536039,-085.789825
237,18149,4,18,149,Starke,Indiana,23363,+41.282896,-086.631962
71,18159,4,18,159,Tipton,Indiana,15936,+40.308849,-086.050587
81,18171,4,18,171,Warren,Indiana,8508,+40.312186,-087.326289
303,26109,4,26,109,Menominee,Michigan,24029,+45.341048,-087.582124
195,55017,4,55,017,Chippewa,Wisconsin,62415,+44.986588,-091.327380
68,55035,4,55,035,Eau Claire,Wisconsin,98736,+44.790413,-091.454948
28,55053,4,55,053,Jackson,Wisconsin,20449,+44.320474,-090.901558
178,55081,4,55,081,Monroe,Wisconsin,44673,+43.942291,-090.640636
156,55125,4,55,125,Vilas,Wisconsin,21430,+45.984593,-089.499417
126,17033,3,17,033,Crawford,Illinois,19817,+39.005690,-087.748024
180,17045,3,17,045,Edgar,Illinois,18576,+39.635942,-087.715370
224,17059,3,17,059,Gallatin,Illinois,5589,+37.770001,-088.238563
144,17133,3,17,133,Monroe,Illinois,32957,+38.358529,-090.171163
49,17157,3,17,157,Randolph,Illinois,33476,+38.055541,-089.809249
10,17163,3,17,163,St. Clair,Illinois,270056,+38.550219,-090.000674
8,17165,3,17,165,Saline,Illinois,24913,+37.754786,-088.536395
38,18003,3,18,003,Allen,Indiana,355329,+41.098642,-085.122329
50,18009,3,18,009,Blackford,Indiana,12766,+40.469726,-085.344190
11,18015,3,18,015,Carroll,Indiana,20155,+40.578983,-086.600098
9,18017,3,18,017,Cass,Indiana,38966,+40.747104,-086.339592
286,18021,3,18,021,Clay,Indiana,26890,+39.469066,-087.124217
281,18027,3,18,027,Daviess,Indiana,31648,+38.696963,-087.098076
226,18035,3,18,035,Delaware,Indiana,117671,+40.205170,-085.401962
257,18039,3,18,039,Elkhart,Indiana,197559,+41.637679,-085.906728
205,18041,3,18,041,Fayette,Indiana,24277,+39.640791,-085.147496
211,18049,3,18,049,Fulton,Indiana,20836,+41.059389,-086.220078
171,18055,3,18,055,Greene,Indiana,33165,+39.052316,-086.992172
147,18067,3,18,067,Howard,Indiana,82752,+40.470704,-086.132959
100,18075,3,18,075,Jay,Indiana,21253,+40.428424,-085.033025
39,18081,3,18,081,Johnson,Indiana,139654,+39.553276,-086.113609
276,18083,3,18,083,Knox,Indiana,38440,+38.698623,-087.457680
26,18085,3,18,085,Kosciusko,Indiana,77358,+41.266796,-085.830484
34,18087,3,18,087,LaGrange,Indiana,37128,+41.632400,-085.461170
0,18099,3,18,099,Marshall,Indiana,47051,+41.347248,-086.273082
140,18101,3,18,101,Martin,Indiana,10334,+38.678357,-086.848113
185,18113,3,18,113,Noble,Indiana,47536,+41.413892,-085.391205
181,18117,3,18,117,Orange,Indiana,19840,+38.562156,-086.496982
255,18119,3,18,119,Owen,Indiana,21575,+39.315596,-086.799822
216,18121,3,18,121,Parke,Indiana,17339,+39.758327,-087.227997
254,18135,3,18,135,Randolph,Indiana,26171,+40.168573,-084.997064
287,18141,3,18,141,St. Joseph,Indiana,266931,+41.675400,-086.228686
14,18153,3,18,153,Sullivan,Indiana,21475,+39.103093,-087.390988
18,18157,3,18,157,Tippecanoe,Indiana,172780,+40.417880,-086.886971
41,18165,3,18,165,Vermillion,Indiana,16212,+39.763164,-087.440231
40,18167,3,18,167,Vigo,Indiana,107848,+39.460817,-087.387985
87,18177,3,18,177,Wayne,Indiana,68917,+39.842737,-084.949811
133,18181,3,18,181,White,Indiana,24643,+40.755698,-086.810306
135,18183,3,18,183,Whitley,Indiana,33292,+41.163144,-085.478480
154,19045,3,19,045,Clinton,Iowa,49116,+41.852707,-090.335737
266,26021,3,26,021,Berrien,Michigan,156813,+41.987514,-086.407539
240,26041,3,26,041,Delta,Michigan,37069,+45.802381,-087.066378
242,26043,3,26,043,Dickinson,Michigan,26168,+45.833651,-088.013810
153,26149,3,26,149,St. Joseph,Michigan,61295,+41.888048,-085.527190
163,27055,3,27,055,Houston,Minnesota,19027,+43.718927,-091.440063
33,29051,3,29,051,Cole,Missouri,75990,+38.552393,-092.218634
278,55011,3,55,011,Buffalo,Wisconsin,13587,+44.379071,-091.743927
79,55033,3,55,033,Dunn,Wisconsin,43857,+44.914467,-091.895108
227,55063,3,55,063,La Crosse,Wisconsin,114638,+43.858367,-091.208437
134,55091,3,55,091,Pepin,Wisconsin,7469,+44.590724,-091.989241
239,55121,3,55,121,Trempealeau,Wisconsin,28816,+44.292059,-091.360514
155,55123,3,55,123,Vernon,Wisconsin,29773,+43.605782,-090.836755
241,17067,2,17,067,Hancock,Illinois,19104,+40.425725,-091.203133
73,17087,2,17,087,Johnson,Illinois,12582,+37.474558,-088.882358
244,17101,2,17,101,Lawrence,Illinois,16833,+38.718291,-087.748328
275,17193,2,17,193,White,Illinois,14665,+38.089959,-088.192241
102,18001,2,18,001,Adams,Indiana,34387,+40.753767,-084.934317
23,18007,2,18,007,Benton,Indiana,8854,+40.575066,-087.291433
203,18029,2,18,029,Dearborn,Indiana,50047,+39.144620,-084.920935
198,18033,2,18,033,DeKalb,Indiana,42223,+41.378214,-085.034285
233,18037,2,18,037,Dubois,Indiana,41889,+38.357067,-086.914032
210,18047,2,18,047,Franklin,Indiana,23087,+39.401885,-085.070265
139,18069,2,18,069,Huntington,Indiana,37124,+40.870224,-085.487085
96,18071,2,18,071,Jackson,Indiana,42376,+38.925896,-085.942654
270,18077,2,18,077,Jefferson,Indiana,32428,+38.758956,-085.433692
91,18079,2,18,079,Jennings,Indiana,28525,+39.005169,-085.648821
187,18111,2,18,111,Newton,Indiana,14244,+40.994087,-087.380385
214,18123,2,18,123,Perry,Indiana,19338,+38.009327,-086.705205
220,18125,2,18,125,Pike,Indiana,12845,+38.424833,-087.233923
223,18129,2,18,129,Posey,Indiana,25910,+38.013245,-087.823041
256,18137,2,18,137,Ripley,Indiana,28818,+39.159402,-085.218379
292,18147,2,18,147,Spencer,Indiana,20952,+38.015495,-087.011149
16,18151,2,18,151,Steuben,Indiana,34185,+41.649521,-085.010662
130,18155,2,18,155,Switzerland,Indiana,10613,+38.819835,-085.023499
45,18161,2,18,161,Union,Indiana,7516,+39.618626,-084.919102
43,18163,2,18,163,Vanderburgh,Indiana,179703,+37.996062,-087.551819
47,18169,2,18,169,Wabash,Indiana,32888,+40.858522,-085.802372
83,18173,2,18,173,Warrick,Indiana,59689,+38.012884,-087.352574
88,18179,2,18,179,Wells,Indiana,27636,+40.770771,-085.194412
58,19061,2,19,061,Dubuque,Iowa,93653,+42.493726,-090.759915
279,19097,2,19,097,Jackson,Iowa,19848,+42.139283,-090.566782
161,26027,2,26,027,Cass,Michigan,52293,+41.891974,-086.040589
105,26153,2,26,153,Schoolcraft,Michigan,8485,+46.004789,-086.227647
231,29007,2,29,007,Audrain,Missouri,25529,+39.205358,-091.821071
201,29019,2,29,019,Boone,Missouri,162642,+38.959866,-092.321523
166,29027,2,29,027,Callaway,Missouri,44332,+38.802239,-091.993447
160,29029,2,29,029,Camden,Missouri,44002,+38.072828,-092.749496
85,29099,2,29,099,Jefferson,Missouri,218733,+38.340593,-090.475744
37,29113,2,29,113,Lincoln,Missouri,52566,+39.003625,-090.928671
104,29131,2,29,131,Miller,Missouri,24748,+38.247837,-092.507085
202,29151,2,29,151,Osage,Missouri,13878,+38.453819,-091.883136
235,29163,2,29,163,Pike,Missouri,18516,+39.363535,-091.156139
273,29175,2,29,175,Randolph,Missouri,25414,+39.412906,-092.451935
229,29183,2,29,183,St. Charles,Missouri,360485,+38.776604,-090.659755
302,29189,2,29,189,St. Louis,Missouri,998954,+38.647121,-090.386218
13,29219,2,29,219,Warren,Missouri,32513,+38.788663,-091.103580
162,29510,2,29,510,St. Louis,Missouri,319294,+38.623609,-090.252991
78,55023,2,55,023,Crawford,Wisconsin,16644,+43.159807,-091.011263
52,55037,2,55,037,Florence,Wisconsin,4423,+45.852429,-088.237785
