,fips,frequency,STATEFP,COUNTYFP,COUNAME,STNAME,POPULATION,LATITUDE,LONGITUDE
431,34003,13,34,003,Bergen,New Jersey,905116,+40.918799,-074.057383
195,34013,13,34,013,Essex,New Jersey,783969,+40.768705,-074.216402
198,34017,13,34,017,Hudson,New Jersey,634266,+40.742925,-074.061278
192,34019,13,34,019,Hunterdon,New Jersey,128349,+40.572183,-074.896782
94,34021,13,34,021,Mercer,New Jersey,366513,+40.255566,-074.700340
95,34023,13,34,023,Middlesex,New Jersey,809858,+40.485529,-074.387921
97,34025,13,34,025,Monmouth,New Jersey,630380,+40.291301,-074.147730
99,34027,13,34,027,Morris,New Jersey,492276,+40.859552,-074.501661
101,34029,13,34,029,Ocean,New Jersey,576567,+39.973657,-074.214610
33,34031,13,34,031,Passaic,New Jersey,501226,+40.925361,-074.191473
14,34035,13,34,035,Somerset,New Jersey,323444,+40.561176,-074.578798
725,34037,13,34,037,Sussex,New Jersey,149265,+41.091219,-074.654037
735,34039,13,34,039,Union,New Jersey,536499,+40.659609,-074.294239
324,34041,13,34,041,Warren,New Jersey,108692,+40.795162,-075.016426
617,36005,13,36,005,Bronx,New York,1385108,+40.849354,-073.882363
130,36027,13,36,027,Dutchess,New York,297488,+41.681015,-073.839417
507,36047,13,36,047,Kings,New York,2504700,+40.650523,-073.954811
267,36059,13,36,059,Nassau,New York,1339532,+40.716587,-073.602242
22,36061,13,36,061,New York,New York,1585873,+40.777958,-073.966303
661,36079,13,36,079,Putnam,New York,99710,+41.411282,-073.717247
828,36081,13,36,081,Queens,New York,2230722,+40.721294,-073.833451
830,36085,13,36,085,Richmond,New York,468730,+40.588523,-074.137304
831,36087,13,36,087,Rockland,New York,311687,+41.127623,-074.019039
24,36103,13,36,103,Suffolk,New York,1493350,+40.821924,-073.113775
145,36105,13,36,105,Sullivan,New York,77547,+41.700086,-074.707459
268,36111,13,36,111,Ulster,New York,182493,+41.841064,-074.100745
260,36119,13,36,119,Westchester,New York,949113,+41.040536,-073.804532
178,42011,13,42,011,Berks,Pennsylvania,411442,+40.364226,-075.908729
307,42025,13,42,025,Carbon,Pennsylvania,65249,+40.871762,-075.708746
449,42077,13,42,077,Lehigh,Pennsylvania,349497,+40.599225,-075.508970
598,42089,13,42,089,Monroe,Pennsylvania,169842,+41.037307,-075.308191
75,12011,12,12,011,Broward,Florida,1748066,+26.134058,-080.227135
72,12015,12,12,015,Charlotte,Florida,159978,+26.954793,-082.119946
803,12021,12,12,021,Collier,Florida,321520,+26.199831,-081.699625
802,12027,12,12,027,DeSoto,Florida,34862,+27.189369,-081.864094
164,12051,12,12,051,Hendry,Florida,39140,+26.705392,-081.202571
168,12057,12,12,057,Hillsborough,Florida,1229226,+27.976529,-082.401275
674,12071,12,12,071,Lee,Florida,618754,+26.574992,-081.858144
639,12081,12,12,081,Manatee,Florida,322833,+27.477054,-082.532775
93,12086,12,12,086,Miami-Dade,Florida,2496435,+25.774565,-080.298888
11,12095,12,12,095,Orange,Florida,1145956,+28.532855,-081.384377
727,12097,12,12,097,Osceola,Florida,268685,+28.266765,-081.383484
734,12099,12,12,099,Palm Beach,Florida,1320134,+26.617075,-080.146119
832,12111,12,12,111,St. Lucie,Florida,277789,+27.338067,-080.353183
834,12115,12,12,115,Sarasota,Florida,379448,+27.208205,-082.423893
433,34001,12,34,001,Atlantic,New Jersey,274549,+39.427562,-074.583452
434,34007,12,34,007,Camden,New Jersey,513657,+39.864010,-075.027836
429,34009,12,34,009,Cape May,New Jersey,97265,+39.095952,-074.807133
193,34011,12,34,011,Cumberland,New Jersey,156898,+39.428284,-075.087728
183,42017,12,42,017,Bucks,Pennsylvania,625249,+40.238922,-075.024632
716,42045,12,42,045,Delaware,Pennsylvania,558979,+39.921778,-075.348629
447,42079,12,42,079,Luzerne,Pennsylvania,320918,+41.199679,-075.929184
838,42091,12,42,091,Montgomery,Pennsylvania,799874,+40.169886,-075.313634
841,42095,12,42,095,Northampton,Pennsylvania,297735,+40.699705,-075.320519
504,42101,12,42,101,Philadelphia,Pennsylvania,1526006,+40.004629,-075.139469
503,42103,12,42,103,Pike,Pennsylvania,57369,+41.302232,-074.985987
500,42107,12,42,107,Schuylkill,Pennsylvania,148289,+40.713737,-076.197364
276,09001,11,09,001,Fairfield,Connecticut,916829,+41.207889,-073.364521
274,09005,11,09,005,Litchfield,Connecticut,189927,+41.727851,-073.187494
273,09007,11,09,007,Middlesex,Connecticut,165676,+41.478564,-072.571408
278,09009,11,09,009,New Haven,Connecticut,862477,+41.396052,-072.941497
32,09011,11,09,011,New London,Connecticut,274055,+41.443373,-072.097683
30,09015,11,09,015,Windham,Connecticut,118428,+41.804225,-071.995072
315,12001,11,12,001,Alachua,Florida,247336,+29.665903,-082.386845
309,12009,11,12,009,Brevard,Florida,543376,+28.232195,-080.690979
804,12023,11,12,023,Columbia,Florida,67531,+30.126051,-082.660566
553,12031,11,12,031,Duval,Florida,864263,+30.300302,-081.622853
403,12043,11,12,043,Glades,Florida,12884,+26.896029,-081.185404
36,12069,11,12,069,Lake,Florida,297052,+28.735689,-081.752026
623,12085,11,12,085,Martin,Florida,146318,+27.144300,-080.244395
730,12093,11,12,093,Okeechobee,Florida,39996,+27.272057,-080.822153
581,12103,11,12,103,Pinellas,Florida,916542,+27.899794,-082.727651
580,12105,11,12,105,Polk,Florida,602095,+28.031140,-081.799975
835,12117,11,12,117,Seminole,Florida,422718,+28.697834,-081.310445
100,12121,11,12,121,Suwannee,Florida,41551,+30.214688,-082.987546
105,12127,11,12,127,Volusia,Florida,494593,+29.073725,-081.123944
