,fips,frequency,STATEFP,COUNTYFP,COUNAME,STNAME,POPULATION,LATITUDE,LONGITUDE
268,27003,13,27,003,Anoka,Minnesota,330844,+45.195145,-093.270245
532,27013,13,27,013,Blue Earth,Minnesota,64013,+44.129816,-093.998839
408,27025,13,27,025,Chisago,Minnesota,53887,+45.453007,-092.924051
255,27037,13,27,037,Dakota,Minnesota,398552,+44.765954,-093.151767
600,27053,13,27,053,Hennepin,Minnesota,1152425,+44.974633,-093.361190
603,27059,13,27,059,Isanti,Minnesota,37816,+45.544297,-093.261468
489,27061,13,27,061,Itasca,Minnesota,45058,+47.315978,-093.520532
374,27093,13,27,093,Meeker,Minnesota,23300,+45.136368,-094.482983
558,27123,13,27,123,Ramsey,Minnesota,508640,+44.993146,-093.106321
203,27145,13,27,145,Stearns,Minnesota,150642,+45.557830,-094.360801
455,27163,13,27,163,Washington,Minnesota,238136,+44.988623,-092.920897
29,27171,13,27,171,Wright,Minnesota,124700,+45.197631,-093.828888
506,55095,13,55,095,Polk,Wisconsin,44205,+45.406302,-092.478528
331,55109,13,55,109,St. Croix,Wisconsin,84345,+45.018036,-092.579597
92,27001,12,27,001,Aitkin,Minnesota,16202,+46.570765,-093.524368
411,27021,12,27,021,Cass,Minnesota,28567,+46.814565,-094.415763
256,27035,12,27,035,Crow Wing,Minnesota,62500,+46.430372,-094.158899
247,27039,12,27,039,Dodge,Minnesota,20087,+44.029980,-092.808798
323,27079,12,27,079,Le Sueur,Minnesota,27703,+44.393730,-093.717527
553,27085,12,27,085,McLeod,Minnesota,36651,+44.859713,-094.264668
370,27095,12,27,095,Mille Lacs,Minnesota,26097,+45.794231,-093.624487
111,27137,12,27,137,St. Louis,Minnesota,200226,+47.085203,-092.311226
104,27139,12,27,139,Scott,Minnesota,129928,+44.713131,-093.467891
201,27141,12,27,141,Sherburne,Minnesota,88499,+45.404646,-093.721897
200,27143,12,27,143,Sibley,Minnesota,15226,+44.582707,-094.168405
379,27153,12,27,153,Todd,Minnesota,24895,+46.066924,-094.886512
512,55093,12,55,093,Pierce,Wisconsin,41019,+44.771766,-092.544547
529,27009,11,27,009,Benton,Minnesota,38451,+45.633538,-094.102484
528,27017,11,27,017,Carlton,Minnesota,35386,+46.642726,-092.536239
523,27019,11,27,019,Carver,Minnesota,91042,+44.838040,-093.679956
147,27041,11,27,041,Douglas,Minnesota,36009,+45.909027,-095.391990
491,27065,11,27,065,Kanabec,Minnesota,16239,+45.886315,-093.299412
371,27097,11,27,097,Morrison,Minnesota,33198,+45.983428,-094.327628
274,27109,11,27,109,Olmsted,Minnesota,144248,+44.023967,-092.473176
431,27115,11,27,115,Pine,Minnesota,29750,+46.033410,-092.892705
109,27131,11,27,131,Rice,Minnesota,64142,+44.370592,-093.260361
536,27007,10,27,007,Beltrami,Minnesota,44442,+47.591009,-094.863032
152,27049,10,27,049,Goodhue,Minnesota,46183,+44.449072,-092.667524
602,27057,10,27,057,Hubbard,Minnesota,20428,+47.057887,-094.934153
272,27103,10,27,103,Nicollet,Minnesota,32727,+44.265357,-094.060790
376,27157,10,27,157,Wabasha,Minnesota,21676,+44.297858,-092.221086
454,27161,10,27,161,Waseca,Minnesota,19136,+44.061000,-093.549998
452,27165,10,27,165,Watonwan,Minnesota,11211,+43.993423,-094.583786
414,27029,9,27,029,Clearwater,Minnesota,8695,+47.561894,-095.388249
326,27075,9,27,075,Lake,Minnesota,10866,+47.180205,-091.557430
202,27147,9,27,147,Steele,Minnesota,36576,+44.064305,-093.214413
540,55005,9,55,005,Barron,Wisconsin,45870,+45.436158,-091.815595
87,55013,9,55,013,Burnett,Wisconsin,15457,+45.833418,-092.413067
356,55033,9,55,033,Dunn,Wisconsin,43857,+44.914467,-091.895108
354,55035,9,55,035,Eau Claire,Wisconsin,98736,+44.790413,-091.454948
527,27015,8,27,015,Brown,Minnesota,25893,+44.284244,-094.599226
492,27067,8,27,067,Kandiyohi,Minnesota,42239,+45.155050,-095.016796
377,27099,8,27,099,Mower,Minnesota,39163,+43.665099,-092.898185
557,27121,8,27,121,Pope,Minnesota,10995,+45.629871,-095.437130
373,27159,8,27,159,Wadena,Minnesota,13843,+46.524393,-095.041370
