county,community
16079,0
40135,0
16073,0
16071,0
16077,0
16075,0
48093,0
06115,0
06111,0
06113,0
01129,1
46111,2
01087,1
02100,0
02105,0
01085,1
19159,2
39109,2
19155,0
39105,2
19157,2
39107,2
51061,1
39101,2
19153,2
39103,2
40029,0
01081,1
48025,0
22009,0
01121,1
22001,0
22003,0
22005,0
01123,1
22007,0
06029,0
46113,0
06021,0
40023,0
06023,0
06025,0
06027,0
40021,0
27171,2
51600,1
21101,3
21103,3
21105,3
21107,3
21109,3
32013,0
32011,0
51840,1
32017,0
32015,0
47081,3
32019,0
29055,0
26157,2
42055,1
26155,2
42057,1
12019,1
42051,1
26151,2
42053,1
12015,1
12017,1
12011,1
42059,1
12013,1
51115,1
51117,1
51111,1
51113,1
46003,2
46007,0
46005,2
17031,2
17033,2
17035,2
17037,2
05137,0
05135,0
05133,0
05131,0
46117,0
54027,1
12129,1
05003,0
26021,2
05001,0
26027,2
05007,0
26025,2
05005,0
12121,1
53025,0
05009,0
12125,1
12127,1
01025,1
01027,1
01021,1
01023,1
01029,1
37009,1
37007,1
37005,1
37003,1
37001,1
48365,0
36029,1
42129,1
48363,0
42125,1
42127,1
36027,1
42123,1
48235,0
48233,0
51065,1
48149,0
48419,0
48145,0
20097,0
48141,0
48143,0
01111,1
01113,1
01115,1
01117,1
01119,1
45061,1
13059,1
45065,1
45067,1
13053,1
48099,0
13057,1
13055,1
01045,1
40073,0
37177,1
37175,1
37173,1
37171,1
37179,1
54085,2
08051,0
54081,3
08055,0
08059,0
54089,3
31129,0
31127,0
31125,0
31123,0
31121,0
18149,2
29023,0
18141,2
18143,3
18145,2
18147,3
37127,1
37121,1
29109,0
29101,0
29103,0
37123,1
29105,0
29107,0
19181,2
55111,2
55113,2
55115,2
55117,2
48303,0
55119,2
34041,1
46013,2
48307,0
48305,0
47035,3
47037,3
47031,3
47033,3
02130,0
06107,0
06105,0
47039,3
06103,0
06101,0
46137,0
55029,2
19149,2
55025,2
19147,2
39173,2
19145,0
55021,2
46135,2
55023,2
19141,2
54083,3
19185,2
40141,0
22019,0
22013,0
22011,0
22017,0
22015,0
46129,2
06039,0
06033,0
06031,0
06037,0
46127,2
27143,2
16065,0
27141,2
16067,0
39001,2
16061,0
39003,2
16063,0
51610,1
51530,1
39009,2
16069,0
27173,2
21113,3
21111,3
21117,2
21115,3
56043,0
56041,0
56045,0
32005,0
32007,0
32001,0
32003,0
42021,1
