fromCountyFIPSid,toCountyFIPSid,countTaxReturns,countTaxExemptions,sumAdjustedGrossIncome1000s
01001,01051,445,1012,17682
01001,01101,377,739,12591
01001,01021,78,223,2367
01001,01073,73,110,1773
01001,01047,45,107,1317
01001,01081,38,72,1397
01001,01097,36,55,1072
01001,01117,31,68,1789
01001,01003,30,61,1428
01001,01089,26,48,1101
01001,13215,22,25,537
01001,01125,20,38,767
01001,01123,17,42,795
01001,48029,16,36,677
01001,12091,15,48,1039
01001,51059,15,59,1491
01001,08041,14,46,938
01001,01069,12,19,477
01001,13121,12,15,299
01001,01113,11,16,237
01001,12005,11,25,411
01001,17163,11,47,915
01001,01085,10,27,336
01001,01109,10,15,279
01001,13063,10,13,77
01001,47157,10,24,1192
01003,01097,693,1388,28189
01003,12033,317,659,12977
01003,01073,123,201,5286
01003,01053,80,201,2253
01003,01117,68,132,2999
01003,12113,61,117,2553
01003,01125,56,100,2595
01003,01101,47,79,4217
01003,01081,44,80,2182
01003,12091,43,94,1255
01003,48201,39,104,2888
01003,12086,34,50,996
01003,28059,34,74,1265
01003,01089,31,51,1237
01003,13121,30,43,2278
01003,28047,27,46,1320
01003,47037,27,41,825
01003,01051,26,56,982
01003,48439,25,55,1219
01003,01099,24,55,937
01003,01069,23,52,1024
01003,01123,22,72,588
01003,04013,22,35,965
01003,37119,22,80,693
01003,01025,21,46,637
01003,06073,21,47,1077
01003,12005,20,43,1095
01003,12031,20,36,632
01003,12057,20,32,555
01003,12103,20,36,653
01003,01103,19,35,630
01003,22051,19,40,417
01003,01055,18,28,559
01003,12095,17,22,537
01003,13067,17,35,1206
01003,13089,16,20,621
01003,13135,16,29,435
01003,17031,16,30,246
01003,22033,16,27,594
01003,22071,16,28,918
01003,47157,16,23,624
01003,48453,15,26,427
01003,01113,14,30,236
01003,12109,14,29,870
01003,12131,14,38,987
01003,22103,14,23,631
01003,48113,13,20,502
01003,01077,12,20,524
01003,01115,12,16,390
01003,01129,12,35,572
01003,12073,12,22,626
01003,13215,12,16,263
01003,01009,11,21,164
01003,01015,11,20,376
01003,01045,11,26,517
01003,01047,11,22,357
01003,06037,11,18,646
01003,28071,11,20,417
01003,37133,11,16,211
01003,12011,10,18,236
01003,13057,10,31,379
01003,28039,10,18,454
01003,45045,10,23,804
01003,47187,10,23,961
01003,48029,10,14,339
01003,51059,10,20,416
01005,01011,120,257,2961
01005,01045,59,129,1932
01005,01069,58,137,1480
01005,01067,39,85,1129
01005,01081,33,69,1208
01005,13215,29,48,813
01005,13239,29,65,802
01005,01101,24,45,548
01005,01113,22,53,723
01005,01109,17,36,284
01007,01125,145,342,6124
01007,01073,105,240,2978
01007,01117,78,180,2580
01007,01021,32,93,1556
01007,01105,13,27,456
01009,01073,407,909,16902
01009,01095,105,262,2975
01009,01043,99,205,3813
01009,01115,93,217,3453
01009,01055,78,194,2589
01009,01117,43,87,1541
01009,01127,22,58,799
01009,01089,19,27,594
01009,01103,18,48,528
01009,01003,13,33,560
01009,01015,12,23,236
01009,01121,10,20,186
01009,01125,10,20,168
01011,01101,63,142,2753
01011,01087,31,77,737
01011,01109,19,41,438
01011,01081,16,42,563
01011,01005,13,33,503
01013,01101,60,109,1554
01013,01085,51,116,1368
01013,01041,31,60,766
01013,01039,26,59,679
01013,01035,18,41,484
01013,01081,15,27,344
01013,01097,13,25,593
01013,01073,11,23,353
01015,01121,460,1124,19432
01015,01055,224,525,7395
01015,01073,140,215,4466
01015,01029,94,233,4627
01015,01019,85,213,2544
01015,01115,73,150,2567
01015,01089,48,89,1484
01015,01117,41,87,2084
01015,13121,37,67,1190
01015,01027,34,72,806
01015,01111,31,91,896
01015,01081,30,56,1076
01015,01095,28,52,886
01015,13045,28,52,744
01015,13067,25,43,696
01015,13089,24,52,508
01015,01101,23,38,525
01015,01125,23,43,586
01015,01003,21,47,535
01015,13215,20,41,856
01015,01097,19,31,653
01015,13135,18,35,661
01015,01103,17,35,581
01015,13097,15,38,218
01015,01049,14,27,392
01015,12005,13,24,275
01015,12033,12,24,443
01015,01123,11,22,1078
01015,12031,11,19,216
01015,13115,11,20,269
01015,48201,11,18,268
01015,21151,10,21,879
01015,26163,10,25,228
01017,01081,311,719,10616
01017,13285,153,363,4389
01017,01111,33,82,747
01017,01123,22,46,549
01017,13215,22,45,605
01017,13145,20,43,698
01017,01113,18,35,368
01017,01101,14,31,550
01017,13077,14,50,496
01017,01073,12,18,242
01017,13121,11,16,267
01017,06059,10,29,958
