county,community
16079,0
40135,0
16073,0
16071,0
16077,0
16075,0
48093,0
06115,0
06111,0
06113,0
01129,3
46111,0
01087,2
02100,0
02105,0
01085,3
19159,1
39109,1
19155,0
39105,1
19157,1
39107,1
51061,2
39101,1
19153,1
39103,1
40029,0
01081,2
48025,0
22009,0
01121,3
22001,0
22003,0
22005,0
01123,3
22007,0
06029,0
46113,0
06021,0
40023,0
06023,0
06025,0
06027,0
40021,0
27171,1
51600,2
21101,1
21103,1
21105,3
21107,1
21109,1
32013,0
32011,0
51840,2
32017,0
32015,0
47081,3
32019,0
29055,1
26157,1
42055,2
26155,1
42057,2
12019,2
42051,2
26151,1
42053,2
12015,2
12017,2
12011,2
42059,2
12013,2
51115,2
51117,2
51111,2
51113,2
46003,0
46007,0
46005,0
17031,1
17033,1
17035,1
17037,1
05137,0
05135,0
05133,0
05131,0
46117,0
54027,2
12129,2
05003,0
26021,1
05001,0
26027,1
05007,0
26025,1
05005,0
12121,2
53025,0
05009,0
12125,2
12127,2
01025,3
01027,3
01021,3
01023,3
01029,2
37009,2
37007,2
37005,2
37003,2
37001,2
48365,0
36029,2
42129,2
48363,0
42125,2
42127,2
36027,2
42123,2
48235,0
48233,0
51065,2
48149,0
48419,0
48145,0
20097,0
48141,0
48143,0
01111,2
01113,2
01115,3
01117,3
01119,3
45061,2
13059,2
45065,2
45067,2
13053,2
48099,0
13057,2
13055,2
01045,3
40073,0
37177,2
37175,2
37173,2
37171,2
37179,2
54085,1
08051,0
54081,1
08055,0
08059,0
54089,1
31129,0
31127,0
31125,0
31123,0
31121,0
18149,1
29023,1
18141,1
18143,1
18145,1
18147,1
37127,2
37121,2
29109,0
29101,0
29103,0
37123,2
29105,0
29107,0
19181,1
55111,1
55113,1
55115,1
55117,1
48303,0
55119,1
34041,2
46013,0
48307,0
48305,0
47035,3
47037,3
47031,3
47033,3
02130,0
06107,0
06105,0
47039,3
06103,0
06101,0
46137,0
55029,1
19149,0
55025,1
19147,1
39173,1
19145,0
55021,1
46135,0
55023,1
19141,0
54083,1
19185,1
40141,0
22019,0
22013,0
22011,0
22017,0
22015,0
46129,0
06039,0
06033,0
06031,0
06037,0
46127,0
27143,1
16065,0
27141,1
16067,0
39001,1
16061,0
39003,1
16063,0
51610,2
51530,2
39009,1
16069,0
27173,1
21113,1
21111,1
21117,1
21115,1
56043,0
56041,0
56045,0
32005,0
32007,0
32001,0
32003,0
42021,2
